Title,Reference,Company,Experience,Salary,Location,Job Description,Skills Required,Posted Date
Appscrips - Python Developer - Django/PostgreSQL,https://www.naukri.com/job-listings-appscrips-python-developer-django-postgresql-appscrip-gujarat-0-to-1-years-300425911471,Appscrip,0-1 Yrs,Not disclosed,N/A,"Mandatory :- Python , Django , Postgres , strong logical skills , strong operating syst...",['PythonDjangoPostgreSQLMicroservices ArchitecturePandasNumpyArchitectureMicroservices'],3 Days Ago
Risk-Bengaluru-Analyst-Software Engineering,https://www.naukri.com/job-listings-risk-bengaluru-analyst-software-engineering-goldman-sachs-bengaluru-0-to-3-years-010525502404,Goldman Sachs,0-3 Yrs,Not disclosed,N/A,"Bachelor s degree in Computer Science, Mathematics, Electrical Engineering or related t...",['Computer scienceCloud computingSoftware designAnalyticalData structuresHTMLInvestment bankingInvestment management'],2 Days Ago
Software Development Engineer - 1,https://www.naukri.com/job-listings-software-development-engineer-1-cloudsek-information-security-private-limited-bengaluru-0-to-3-years-010525503336,Cloudsek Information Security,0-3 Yrs,Not disclosed,N/A,Software Engineer with a minimum 6 months of experience in cybersecurity product develo...,['Supply chainNoSQLorchestrationcyber securityArtificial IntelligenceMachine learningCloudMonitoring'],2 Days Ago
Data Engineer,https://www.naukri.com/job-listings-data-engineer-henson-group-pune-chennai-bengaluru-0-to-1-years-300425912190,Henson Group,0-1 Yrs,Not disclosed,N/A,"Collect and integrate data from multiple online data sources via API.Clean, filter, and...",['SQLdatabase designtechnical supportdata modelingdocumentationdata warehousingETLdatabase administration'],3 Days Ago
"Senior Engineer, Python",https://www.naukri.com/job-listings-senior-engineer-python-tide-software-new-delhi-0-to-5-years-010525503013,Tide Software,0-5 Yrs,Not disclosed,N/A,You will apply your extensive experience on our problem domain and existing guidelines ...,['Health insuranceAdministrationBackendGermanScrumAWSTeam buildingRecruitment'],2 Days Ago
Associate Software Engineer - Hiring For one of our esteemed client,https://www.naukri.com/job-listings-associate-software-engineer-hiring-for-one-of-our-esteemed-client-vibrantminds-pune-0-to-0-years-030525002457,Vibrantminds,0 Yrs,4.5 Lacs PA,N/A,Note: Hiring for one of our esteemed client (Company name confidential) Position: As...,['Communication SkillsJavaLogical ApproachCSSCodingMySQLProblem SolvingJavascript'],Today
Software Engineer,https://www.naukri.com/job-listings-software-engineer-aja-consulting-services-hyderabad-0-to-0-years-020525017890,AJA Consulting Services,0 Yrs,Not disclosed,N/A,Transform your tech passion into a professional IT career with AJA CODING TUTOR PLATFOR...,['JavaData Engineering.NetDevopsPythonAws CloudAzure CloudSoftware'],1 Day Ago
Jr . Odoo Developer,https://www.naukri.com/job-listings-jr-odoo-developer-mobibox-softech-vapi-0-to-2-years-020525500385,Mobibox Softech,0-2 Yrs,Not disclosed,N/A,We are looking for a skilled Jr. Odoo Developer to join our growing development te...,['BasicERPDjangoFocusDeploymentManagementTroubleshootingTeam building'],1 Day Ago
Python Developer Intern,https://www.naukri.com/job-listings-python-developer-intern-epicminds-information-technology-bengaluru-0-to-1-years-030525004361,Epicminds Information Technology,N/A,"15,000/month",N/A,N/A,[''],Starts within 1 month
Python Developer with AI/ML,https://www.naukri.com/job-listings-python-developer-with-ai-ml-ivectors-software-solutions-llp-hyderabad-0-to-1-years-020525018288,Ivectors Software Solutions Llp,0-1 Yrs,Not disclosed,N/A,Job Title: Python Developer with AI/ML Night Shift (01 Year Exp) Onsite HyderabadLocat...,['AI/MLMachine LearningPythonArtificial IntelligenceMachineAimlDevelopmentMl'],1 Day Ago
